Stall_no,Market_Category,Loyalty_customer,Product_Category,Grade,Demand,Discount_avail,charges_1,charges_2 (%),Minimum_price,Maximum_price,Selling_Price
38,283,0,4,0,82,1,470,9,2371.0,6303.0,711.2434559999999
3,0,1,1,0,27,0,289,16,2368.0,4231.0,-3584.79555
39,55,1,0,0,31,0,374,16,1842.0,3179.0,2881.2987
42,58,1,0,0,57,0,363,11,7425.0,10250.0,9151.274592
5,469,1,5,0,46,0,252,13,7137.0,8866.0,8211.011040000001
41,350,1,8,3,69,0,158,10,6646.0,9290.0,8052.6303
30,469,0,4,0,14,0,477,8,3557.0,4742.0,4629.357018
14,1,0,8,0,41,1,136,3,3574.0,4756.0,641.20734
46,27,1,2,0,60,0,111,10,6659.0,9900.0,8209.80745
28,55,1,3,0,63,0,258,2,4440.0,6490.0,5666.8491
43,320,0,1,0,87,0,260,11,8257.0,15501.0,11977.080192
23,358,1,9,3,52,0,258,13,2120.0,15949.0,9244.692864
20,358,0,9,3,27,0,258,14,2486.0,14677.0,8829.381225
31,447,0,1,0,12,0,326,7,1587.0,4420.0,3331.26684
14,38,1,2,3,49,0,152,12,4198.0,8015.0,6225.728688
2,268,1,6,2,28,0,340,9,945.0,2956.0,5041.931269000001
27,441,0,9,0,80,0,241,12,3020.0,4383.0,3858.13385
43,451,1,4,0,87,0,458,13,4724.0,6418.0,5949.318144
9,165,1,3,0,93,0,258,9,3662.0,5596.0,4820.737152000001
49,11,1,8,3,77,0,183,10,567.0,1309.0,1110.7206
22,423,1,7,0,6,0,101,6,5509.0,9435.0,7576.722252
12,358,0,7,3,21,0,105,8,2945.0,8553.0,5843.9535
24,58,1,4,1,39,0,646,10,3251.0,4273.0,4400.7306
10,14,1,5,0,80,0,248,15,3278.0,4593.0,4095.1385
13,235,0,4,2,64,0,587,10,3166.0,5807.0,5027.2101
29,55,1,5,0,95,0,214,12,4100.0,5368.0,4882.347008
21,85,1,9,2,89,1,240,15,1805.0,2627.0,363.5858688
7,358,1,5,3,31,0,304,14,9483.0,13644.0,11761.213275
12,3,1,0,0,32,0,369,14,1247.0,12229.0,2632.572075
20,230,1,5,1,76,0,247,14,8227.0,10814.0,9683.0217
5,14,1,8,0,51,0,155,7,3339.0,4327.0,3965.139648
32,451,0,8,0,73,0,158,2,4795.0,6572.0,5784.2136
43,111,1,9,1,86,0,210,14,1129.0,3142.0,2314.671744
34,65,1,3,2,68,0,266,7,3271.0,5304.0,4510.935
17,23,1,1,1,70,0,295,16,2710.0,5516.0,4370.4342
50,103,1,1,1,17,0,328,16,3790.0,6945.0,5699.759967
45,0,0,5,0,45,1,230,17,1546.0,3162.0,385.71552
12,165,1,1,0,52,0,263,13,3514.0,5021.0,4507.0192799999995
19,24,0,8,0,75,0,104,9,8262.0,3010.0,9766.1322
5,110,1,3,0,77,0,258,4,710.0,999.0,1101.7116
42,83,1,3,1,87,0,259,1,4480.0,9795.0,7290.690176000001
40,443,1,3,0,93,0,202,1,5708.0,7571.0,6743.632895999999
43,83,1,5,0,89,1,271,12,2284.0,14031.0,1247.5167935999998
16,14,0,2,0,7,1,173,7,3295.0,4992.0,647.845209
36,447,1,1,0,75,1,267,10,5231.0,8004.0,1023.3313199999999
28,58,0,5,0,12,0,212,12,3645.0,4612.0,4345.015455
1,93,1,1,2,48,1,273,6,4535.0,7531.0,940.3857648000001
18,275,0,3,0,79,0,254,5,4489.0,5929.0,5410.944
34,358,1,3,3,43,0,257,9,4505.0,14923.0,9915.869664
2,131,0,0,0,74,0,363,12,2085.0,6513.0,4620.4884
8,447,1,9,0,46,1,287,10,4568.0,6014.0,832.1335416000001
11,452,1,4,0,72,0,468,6,3067.0,4426.0,4174.5825
38,186,1,1,0,17,0,274,14,4487.0,8784.0,6918.098120999999
7,24,1,4,0,72,0,585,7,6559.0,9493.0,8530.4538
28,23,1,8,1,68,0,165,1,3582.0,5581.0,4699.4904
16,1,1,7,0,47,0,133,5,5230.0,7878.0,6647.462208
39,452,1,4,0,56,0,507,16,4139.0,5638.0,5368.738752
30,451,1,0,0,53,0,383,17,4627.0,4431.0,5512.304016
30,205,1,6,0,9,0,259,13,2437.0,3224.0,2939.186052
22,60,1,2,3,17,0,148,17,247.0,1337.0,941.2558650000001
33,358,1,0,3,1,0,379,14,6796.0,12106.0,9842.245676999999
36,63,0,3,1,61,0,283,3,2006.0,11705.0,7069.1544
36,14,0,7,0,91,0,130,8,3724.0,4529.0,4198.45888
23,24,1,1,0,76,0,314,11,7017.0,10671.0,9076.0527
8,441,0,5,2,80,0,208,14,3617.0,5321.0,4577.88665
47,199,1,5,0,5,0,252,17,4071.0,7530.0,6061.753764
30,73,0,5,0,66,0,292,17,2231.0,3321.0,3041.9928
26,443,1,8,0,65,0,157,7,4871.0,6745.0,5909.3793
2,255,0,9,2,32,0,280,10,124.0,604.0,642.7491
24,13,1,8,3,28,0,188,7,365.0,2127.0,1431.282825
20,24,1,0,0,49,0,357,17,5764.0,7916.0,7162.4947680000005
4,0,1,1,0,43,1,342,9,8648.0,12706.0,1643.7040344
33,3,0,3,0,68,0,205,8,1693.0,2929.0,2492.6715
7,23,0,7,1,57,0,139,9,2587.0,4660.0,3741.6591359999998
23,320,1,5,0,38,0,233,14,2202.0,15805.0,9225.97725
46,447,1,6,0,23,0,325,9,2630.0,12191.0,3526.551525
31,423,1,7,0,34,0,142,5,3291.0,8577.0,6063.772575
24,192,1,1,0,69,1,260,7,2219.0,6851.0,712.528245
45,407,0,9,0,86,0,208,11,2557.0,4378.0,3375.7095679999998
26,62,1,1,0,70,0,290,7,2895.0,12275.0,7801.5069
31,116,1,6,0,71,0,284,11,3354.0,4345.0,4096.3527
12,58,0,2,1,28,0,122,15,2745.0,4082.0,3531.76845
11,358,0,6,3,47,0,242,6,3781.0,13928.0,9043.558416
43,97,1,2,0,76,0,146,16,2552.0,6943.0,4852.089
29,14,0,0,0,82,0,398,17,3589.0,5164.0,4713.080064
49,24,0,5,0,7,0,235,16,5563.0,7986.0,7019.637965999999
4,55,1,9,0,97,0,253,16,838.0,2685.0,1988.270592
50,447,0,6,0,94,0,282,9,3220.0,4545.0,4107.970944
10,115,0,7,0,78,0,112,5,3170.0,4319.0,3819.7863
19,162,0,3,1,65,0,267,1,4224.0,5782.0,5217.795
33,14,0,8,0,90,0,130,2,4431.0,7956.5,5398.200192
12,37,0,2,2,86,0,131,17,7426.0,10131.0,8795.908352
37,3,1,3,0,18,0,225,8,2303.0,3486.0,3121.507818
13,24,1,7,0,97,1,113,5,4272.0,5930.0,771.214752
3,113,1,4,0,46,0,465,7,1491.0,3778.0,3081.491424
19,100,0,2,0,66,0,127,6,1169.0,2825.0,2103.948
9,74,1,9,0,16,0,263,10,2847.0,3507.5,3655.024461
11,3,0,0,0,19,0,379,13,2837.0,4190.0,3896.680293
30,57,1,1,0,2,0,255,16,5110.0,8108.0,6873.882543000001
11,24,1,8,0,1,0,169,10,6425.0,8983.0,7879.911929999999
21,57,1,0,0,12,0,372,11,2812.0,8121.0,5843.9255490000005
21,443,1,9,0,94,0,250,10,5692.0,8117.0,7058.27584
12,70,0,9,2,89,0,265,14,1419.0,4248.0,3057.794432
23,268,1,7,2,5,0,147,9,786.0,1934.0,1508.069178
28,58,1,1,0,86,0,273,15,5497.0,7865.0,6863.738112000001
6,451,1,9,0,84,0,217,15,5801.0,7990.0,7020.271104
11,9,1,5,3,12,0,297,14,5031.0,13343.0,9495.910314
5,444,1,3,1,69,1,216,5,5934.0,8806.0,1127.0674800000002
42,24,0,9,0,36,0,288,12,3771.0,4675.0,4504.779825
9,452,1,8,0,50,0,127,5,6107.0,8361.0,7317.486432
5,3,1,1,0,47,0,330,7,4106.0,5371.0,5039.360352000001
16,146,1,3,2,68,0,250,5,4171.5,5979.0,2079.9207
20,204,0,5,0,60,0,252,15,4237.0,6587.0,5544.4973
25,452,1,4,0,30,0,642,14,6251.0,8802.0,8157.086175
42,103,1,5,0,66,0,253,14,10560.0,16382.0,13605.4314
34,452,1,9,0,58,1,253,10,3625.0,5198.0,695.8543463999999
2,23,0,5,2,12,1,274,12,1168.0,4122.0,438.28166745
26,367,1,5,0,78,0,204,15,2592.0,3823.0,3657.2877
18,114,1,8,0,21,0,174,10,840.0,3524.0,2352.28455
46,73,1,9,0,5,0,221,17,2843.0,4289.0,3792.6806939999997
7,24,0,1,0,99,0,257,7,4573.0,6063.0,5498.386432
35,55,0,9,0,30,0,258,15,4460.0,6441.0,5702.3883
1,83,1,5,0,5,0,247,14,1833.0,9337.0,5839.236018
9,13,1,4,3,5,0,640,9,312.0,2102.0,1847.905191
3,268,1,5,0,16,0,287,15,1506.0,3896.0,2991.750795
6,79,1,2,0,24,0,100,5,1317.0,1907.0,1708.527975
15,268,1,7,0,1,0,113,6,1732.0,3234.0,2597.230251
39,23,1,0,0,72,0,356,14,4533.0,7840.0,6485.6484
40,1,0,6,0,79,1,209,8,1333.0,5013.0,502.60419
13,58,0,6,0,29,0,349,12,4071.0,5621.0,5187.81795
29,80,1,7,2,27,0,110,7,6211.0,11544.0,8971.225725
9,469,1,5,0,60,0,259,17,4355.0,10538.5,5253.26095
22,24,1,8,0,77,0,119,6,6381.0,9533.0,7999.9623
39,70,0,0,2,98,0,162,16,3225.0,5287.0,4592.708736
27,443,1,5,0,56,0,206,15,2761.0,3963.0,3550.1725439999996
45,451,0,8,0,32,0,166,9,6068.0,8070.0,7223.2566
20,121,1,2,0,98,0,130,8,1193.0,3728.0,2555.138432
33,39,1,0,3,16,0,363,12,2978.0,5626.0,4669.692984
28,445,0,7,0,85,0,148,8,7184.0,9732.0,8488.746112
25,459,0,0,0,64,0,355,12,6050.0,9081.0,7850.2842
21,1,0,2,0,12,0,100,17,1515.0,5353.0,3539.486016
5,70,1,7,2,74,0,143,7,1305.0,5650.0,3586.7007
41,463,1,7,0,56,0,136,7,1571.0,3392.0,2602.476864
43,70,0,6,2,96,0,225,12,5761.0,11896.0,8933.567104000002
8,443,0,9,0,29,0,299,14,3582.0,4898.0,4533.57765
43,55,1,6,0,7,1,329,11,2428.0,5936.0,677.2722660000001
30,454,1,5,0,77,0,209,12,2621.0,5024.0,3995.7291
34,358,0,0,3,10,0,353,12,1758.0,6758.0,4615.648389
50,141,1,9,0,5,0,205,13,4444.0,5511.0,5188.451103
16,57,0,6,0,91,0,307,8,3467.0,5324.0,4638.253312
46,452,0,6,0,57,0,335,11,4545.0,5540.0,5348.59848
6,38,1,0,3,90,0,367,15,4420.0,11059.0,8001.209215999999
21,9,0,6,3,47,0,253,8,7258.0,11265.0,9460.969776
4,452,0,3,0,73,0,217,6,7001.0,9569.0,8421.9003
24,74,1,4,0,45,0,536,12,8653.0,11277.0,10445.677056
42,3,0,5,0,64,1,239,14,3830.0,6169.0,778.95675
24,165,1,0,0,50,0,251,16,3396.0,9886.0,4405.085856000001
40,358,1,3,3,66,0,263,3,4223.0,13603.0,9086.8833
24,55,0,0,0,1,0,395,17,979.0,2792.0,2283.481629
24,358,1,7,3,28,0,133,6,4081.0,14589.0,9449.916
45,216,0,3,0,6,0,289,1,261.0,488.0,663.473646
35,93,1,5,2,42,0,287,13,4445.0,6957.5,6360.470784
37,113,1,8,0,84,0,150,7,3543.0,13427.0,8516.510464
1,367,0,9,2,77,0,290,13,3024.0,6832.0,5172.1659
15,3,1,8,0,29,0,182,8,1682.0,2689.0,2363.326875
46,452,1,3,0,46,0,253,6,4121.0,6150.0,5357.073888
27,100,0,7,0,82,1,122,6,3029.0,4191.0,552.0596928
36,121,1,8,0,25,0,108,4,1237.0,3783.0,2612.4525
18,63,1,1,1,70,0,269,6,1467.0,2483.0,2222.7282
7,231,1,2,2,6,0,165,16,6204.0,7614.0,7084.341495000001
2,14,0,8,0,85,0,141,6,5195.0,7772.0,6532.941184
48,124,0,3,0,66,1,233,5,1991.0,2754.0,387.093465
50,111,1,4,0,44,0,643,14,3314.0,6804.0,5672.541888000001
7,443,0,0,0,67,0,373,12,3653.0,5239.0,4776.0966
47,205,1,2,0,62,0,124,13,2579.0,3204.0,3184.8498
36,11,1,5,3,74,0,245,15,453.0,1169.0,1046.6478
26,152,1,8,0,32,0,191,10,1704.0,2199.0,2139.088875
23,471,0,3,2,82,0,265,6,2273.0,3279.0,2998.855552
8,445,1,1,0,4,0,257,9,3252.0,5335.0,4553.904564
11,58,1,7,1,27,0,137,8,2806.0,10758.0,3416.068425
16,61,1,4,2,40,0,478,8,11149.0,16181.0,13835.466575
13,234,1,0,1,19,0,352,11,8572.0,12012.0,10654.254468000001
46,471,1,5,2,20,0,220,17,1879.0,2780.0,2496.00715
3,454,1,0,0,59,0,395,12,2030.0,4151.0,3466.879056
43,24,1,5,0,52,0,295,13,3312.0,4748.0,4302.5264640000005
47,448,0,6,0,13,1,263,7,2641.0,3744.0,518.60763405
20,452,0,0,0,17,0,369,15,3222.0,4601.0,4285.941363
6,268,0,6,2,14,0,335,5,2506.0,3780.0,3479.2220429999998
22,358,1,6,3,100,0,342,13,10616.0,26236.0,18369.131125
50,358,1,6,3,22,0,200,7,4201.0,6364.0,5472.4845
36,103,1,4,1,46,1,530,15,11822.0,16687.0,2206.6683552
31,315,0,3,2,52,0,297,2,1691.0,8780.0,5498.1352799999995
9,164,1,8,0,32,0,165,7,1784.0,2478.0,2291.746275
39,3,1,6,0,14,0,249,9,2300.0,3205.0,3003.679602
20,452,1,3,0,46,0,255,5,2963.0,4111.0,3769.489872
32,65,0,4,2,48,0,539,9,2703.0,4705.5,3853.6776
34,141,1,6,0,44,0,272,5,3736.0,5300.0,4761.5895359999995
9,23,1,2,0,37,0,141,9,3138.0,5296.0,4350.8955
16,441,0,0,0,12,0,354,13,3150.0,4914.0,4390.800876
27,315,1,3,2,92,0,283,4,1829.0,7960.0,5104.875776
30,58,1,7,0,48,0,133,7,6066.0,7921.0,7085.759040000001
30,275,0,2,0,78,0,173,16,775.0,1958.0,1526.2731
32,23,1,9,2,95,0,202,13,600.0,2809.0,1881.234432
18,446,0,6,0,38,1,318,5,6760.0,9513.0,1265.61353625
15,58,1,3,0,89,0,202,4,5198.0,7926.0,6669.1806719999995
34,73,1,2,0,75,0,120,12,1478.0,2074.0,1879.1487
16,80,1,5,2,31,0,287,14,366.0,568.0,752.763375
35,115,1,8,0,76,0,141,7,1401.0,2006.0,1827.2331
27,103,0,3,1,97,0,259,1,9322.0,15054.0,12268.965632
33,37,0,1,2,81,1,265,9,7549.0,10737.0,1392.0954432
17,57,0,3,0,33,0,277,5,3378.0,7016.0,5462.9085
2,186,1,0,0,58,0,393,17,6768.0,10088.0,8778.783888
7,441,1,5,0,30,0,205,13,5025.0,8370.0,6893.931975
16,446,1,4,0,37,0,631,9,5575.0,7324.0,7068.58425
16,3,1,9,0,41,0,244,12,2145.0,3409.0,3004.974288
43,220,1,9,0,49,0,233,14,3755.0,5429.0,4800.5088479999995
48,175,1,5,2,29,1,221,13,4881.0,6701.0,900.67217625
10,191,1,8,2,64,1,139,6,3502.0,6563.0,768.4162200000001
32,57,1,2,0,1,0,133,6,4191.0,8706.0,6584.711463000001
39,113,0,0,0,93,0,360,17,1699.0,6743.0,4522.110208
6,123,0,0,0,97,0,368,12,843.0,5946.0,2527.206528
8,469,1,4,2,90,0,614,8,3522.0,5149.0,4881.647232
7,152,1,7,0,70,0,138,5,1847.0,2620.0,2348.8938
35,220,0,1,0,56,0,262,5,3291.0,4867.0,4315.244544
14,452,1,6,0,25,0,201,6,4945.0,7020.0,6171.622275
44,23,1,5,0,83,0,236,12,1366.0,2428.0,2104.531968
45,73,0,3,0,87,0,208,8,1133.0,1608.0,233.528064
15,146,0,6,2,9,0,297,8,1465.0,2502.0,2281.861791
36,443,1,9,0,17,0,289,8,4651.0,6468.0,5856.81426
20,24,1,2,0,50,0,135,8,6092.0,8082.0,7181.412912000001
40,451,1,0,0,77,0,389,15,3142.0,4511.0,4179.0276
11,175,0,7,2,29,0,125,7,6889.0,10059.0,8583.417675
4,1,1,0,0,51,0,393,16,1771.0,8480.0,3070.532016
5,451,1,7,0,97,1,120,7,5313.0,6901.0,921.2309568
22,23,1,1,2,88,0,257,13,2091.0,4334.0,3423.6590079999996
42,449,0,2,0,78,0,115,14,3458.0,4869.0,4241.4867
12,108,0,0,0,47,0,387,15,2457.0,5460.0,4323.193343999999
45,55,0,4,0,32,0,602,16,3963.0,5451.0,5303.238675
2,115,0,3,0,72,0,234,9,1422.0,2006.0,1930.0446
25,447,1,5,0,83,0,236,17,3022.0,4399.0,3895.889536
6,441,0,3,0,56,0,210,9,2406.0,3928.0,3358.21896
4,192,1,7,1,33,0,102,6,1767.0,5645.0,3800.69445
37,471,0,2,2,59,0,165,14,2363.0,5056.0,3854.859984
38,101,0,5,0,41,0,216,12,814.0,1099.0,1166.1386400000001
28,469,1,1,0,91,0,339,14,5281.0,6822.0,6306.824832
6,55,0,7,0,47,0,116,7,1029.0,2821.0,2029.27896
5,451,1,0,0,75,0,386,12,4786.0,6722.0,6085.431
18,101,0,3,0,2,0,204,4,1906.0,2806.0,2560.6839059999998
43,104,1,7,0,59,0,128,8,724.0,2764.0,1861.41024
18,23,1,2,2,74,0,134,13,1584.0,5190.0,3490.1459999999997
37,93,0,1,2,99,0,333,13,3137.0,5416.0,4548.603136
15,456,1,1,0,96,1,253,12,2861.0,8510.0,878.9561087999999
9,449,1,4,0,94,0,538,9,6364.0,8777.0,7998.449536
48,443,0,8,0,84,0,146,2,2582.0,4126.0,3450.2603520000002
26,456,0,9,0,24,0,208,11,2620.0,8533.0,5776.153425
21,447,1,8,0,12,0,162,10,4263.0,5876.0,5236.046343
6,294,1,3,2,49,0,259,6,3740.0,21952.0,13028.788656
13,186,0,6,2,31,1,297,8,2893.0,4029.0,562.70521125
17,103,1,3,0,54,0,251,5,10348.0,4165.5,12185.5104
35,74,0,1,0,26,1,303,12,3384.0,4302.0,621.03502125
25,437,1,3,0,38,0,221,2,3244.0,4580.0,4123.44555
44,113,0,0,0,24,0,363,11,1995.0,3774.0,3242.543325
4,358,0,7,3,13,0,146,6,3861.0,12750.0,8455.634352
16,23,1,0,2,52,0,389,12,603.0,3028.0,2192.557248
32,23,1,6,2,25,0,285,14,1801.0,7853.0,5104.995525
18,57,1,2,0,90,0,101,17,2452.0,5612.0,3701.61792
24,454,1,5,0,86,0,228,15,1267.0,3371.0,2513.753088
45,57,1,8,0,15,0,135,10,5060.0,7921.0,6631.326801
20,437,1,3,0,31,0,253,4,4854.0,6878.0,6106.046625
30,23,0,7,2,95,0,100,6,1290.0,7417.0,4391.942016
5,443,1,9,0,38,0,201,16,4414.0,6764.0,5784.44265
40,63,1,0,1,88,0,398,13,4003.0,7575.0,6105.328768
32,455,0,0,0,52,0,368,11,888.0,4954.0,3271.139856
4,51,1,4,1,21,0,635,12,3437.0,7339.0,6014.396325
37,450,1,7,0,42,0,144,8,2773.0,4281.0,3650.307552
46,14,1,7,0,85,0,136,5,3172.0,4178.0,3757.935104
7,447,0,5,0,37,0,287,4,3318.0,8458.0,6167.193375
9,3,1,8,0,63,0,138,3,2303.0,4193.0,3353.1003
18,2,1,4,1,97,0,649,5,5059.0,8789.0,7467.358976
8,441,0,7,2,95,0,132,5,6088.0,7959.0,7055.920256
7,190,0,1,0,31,0,290,8,11332.0,16687.0,14274.933225
38,441,1,1,0,94,0,289,14,2952.0,4496.0,3960.3477759999996
35,443,0,1,0,7,0,329,13,9584.0,13609.0,11939.385942
14,397,1,1,0,33,0,324,16,735.0,2830.0,2104.076625
11,186,0,4,2,81,0,537,5,2830.0,3693.0,3745.408128
47,93,1,5,2,91,0,295,12,2916.0,5535.0,4460.401792000001
49,23,1,1,2,53,0,311,8,4642.0,19695.0,12409.298928
39,268,1,1,2,92,0,312,16,671.0,2730.0,1986.200832
15,83,1,9,0,64,1,202,16,1537.0,5653.0,564.708375
2,451,0,2,0,35,0,159,15,6022.0,7176.0,6750.98025
33,23,0,9,2,72,0,295,10,1214.0,4584.0,3164.9309999999996
30,1,0,7,0,87,0,108,6,1014.0,3036.0,2103.487232
42,62,0,8,0,46,0,116,5,1958.0,8268.0,5198.0780159999995
18,350,0,3,1,50,0,200,9,4648.0,7185.0,6082.640352
27,76,1,5,0,85,0,236,16,4039.0,5304.0,4844.194432
36,320,0,0,0,79,0,379,14,1406.0,4383.0,3244.7745
14,268,0,2,2,79,0,129,11,2097.0,4036.0,3166.8813
37,453,0,9,0,98,0,270,16,3726.0,5323.0,4732.5949439999995
8,441,0,7,2,73,0,135,5,3806.0,6017.0,4998.4704
34,113,1,1,0,60,0,285,8,4782.0,11802.0,8390.498325
16,186,1,0,2,44,0,363,13,2232.0,3110.0,3018.030192
31,55,0,9,0,35,0,209,10,1217.0,3689.0,2657.788875
9,256,1,4,0,7,0,618,6,1588.0,6727.0,4777.512201
28,283,1,5,0,81,1,209,17,4692.0,9830.0,1106.1891455999998
40,108,1,1,0,65,0,272,15,1069.0,2290.0,1934.4798
5,451,1,6,0,96,0,204,7,4675.0,6716.0,5818.479744
21,443,1,7,0,82,0,114,6,4969.0,6793.0,5912.151168
29,115,1,6,0,34,0,339,13,1142.0,1994.0,1904.2674
38,452,0,3,0,18,0,203,3,3799.0,5113.0,4659.873965999999
30,447,1,4,0,35,1,566,10,4419.0,6159.0,876.84589125
3,116,0,3,0,32,1,219,4,1419.0,1889.0,280.3463775
20,443,0,5,0,76,1,271,14,3630.0,5483.0,717.83118
45,162,0,4,1,60,1,255,7,4780.0,6684.0,920.51321625
3,452,1,9,0,63,0,240,16,5497.0,7930.0,6894.5976
16,358,0,9,3,7,0,275,11,894.0,2520.0,1983.681612
48,3,0,3,0,24,0,272,4,2839.0,6179.0,4770.843
22,65,0,2,2,90,0,109,6,822.0,2216.0,1605.453696
23,452,1,5,0,91,1,186,16,5251.0,6914.0,939.7050432
45,452,0,3,0,85,0,264,6,6883.0,8720.0,7953.969408
9,115,1,6,0,29,0,293,12,1840.0,2331.0,2375.0475
44,451,0,2,0,7,0,136,12,4861.0,6448.0,5796.710271
27,450,0,2,0,84,0,167,15,2310.0,3005.0,2787.759744
16,441,0,1,2,93,0,281,16,6335.0,9163.0,7926.589440000001
17,27,0,0,0,39,0,388,15,6175.0,10152.0,8542.340625
6,94,1,7,2,45,0,140,9,1391.0,9933.0,5769.934560000001
42,234,1,1,0,57,0,337,14,15106.0,19763.0,17682.016175999997
40,62,1,6,0,27,0,337,7,2576.0,8962.0,6094.7649
27,294,1,7,2,32,0,120,5,1097.0,3879.0,2602.7169
28,469,0,8,0,56,0,189,8,4319.0,6116.0,5373.458352000001
12,443,1,0,0,86,0,360,11,3428.0,4996.0,4510.726528
39,14,1,5,0,9,0,251,16,5413.0,7053.0,6493.320603
37,65,0,9,2,18,1,212,16,2991.0,4892.0,623.90910285
11,137,0,9,0,76,0,292,12,5551.0,14875.0,10412.0874
39,80,1,2,0,95,0,114,11,3057.0,4857.0,4016.66496
7,358,0,3,3,94,0,258,4,4391.0,11054.0,7868.626304
10,12,0,6,0,65,0,240,14,6094.0,7557.0,7004.3094
19,451,0,5,0,77,1,222,12,5196.0,6388.0,894.111075
30,3,0,3,0,30,0,202,1,1724.0,2975.0,2545.350675
26,14,0,8,0,72,0,177,4,5269.0,7340.0,6419.1798
19,294,0,5,2,13,1,234,17,1082.0,3638.0,389.66252985
42,452,0,2,0,14,0,151,8,3094.0,4401.0,3901.10985
27,173,1,1,0,14,0,335,6,7396.0,11269.0,9672.13269
49,449,1,8,0,11,0,132,6,683.0,987.0,967.40325
31,58,1,3,0,86,0,213,9,2545.0,3365.0,3125.002496
1,268,1,4,2,86,0,553,8,1820.0,5316.0,4064.4665600000003
25,17,1,8,0,33,0,138,10,9451.0,15434.0,12561.45765
14,256,0,5,0,51,0,214,13,1825.0,13834.0,8002.136448
2,14,1,6,0,4,0,251,11,3166.0,4159.0,3917.138247
37,65,1,5,2,85,0,221,12,4496.0,3515.5,5631.304448
25,65,1,2,0,73,0,139,16,1245.0,2872.0,2178.7821
46,403,1,8,0,54,0,102,1,1947.0,3201.0,2659.1319359999998
14,23,0,9,0,34,0,261,16,6892.0,10138.0,8767.64595
22,454,1,2,0,52,0,151,17,2797.0,5545.0,4301.3838240000005
31,55,1,0,0,90,0,367,17,1367.0,3359.0,2694.6501120000003
