,Stall_no,Market_Category,Loyalty_customer,Product_Category,Grade,Demand,Discount_avail,charges_1,charges_2 (%),Minimum_price,Maximum_price,Selling_Price
186,33,39,1,0,3,16,0,363,12,2978.0,5626.0,4669.692984
187,28,445,0,7,0,85,0,148,8,7184.0,9732.0,8488.746112
188,25,459,0,0,0,64,0,355,12,6050.0,9081.0,7850.2842
189,21,1,0,2,0,12,0,100,17,1515.0,5353.0,3539.486016
190,5,70,1,7,2,74,0,143,7,1305.0,5650.0,3586.7007
191,41,463,1,7,0,56,0,136,7,1571.0,3392.0,2602.476864
192,43,70,0,6,2,96,0,225,12,5761.0,11896.0,8933.567104000002
193,8,443,0,9,0,29,0,299,14,3582.0,4898.0,4533.57765
194,43,55,1,6,0,7,1,329,11,2428.0,5936.0,677.2722660000001
195,30,454,1,5,0,77,0,209,12,2621.0,5024.0,3995.7291
196,34,358,0,0,3,10,0,353,12,1758.0,6758.0,4615.648389
197,50,141,1,9,0,5,0,205,13,4444.0,5511.0,5188.451103
198,16,57,0,6,0,91,0,307,8,3467.0,5324.0,4638.253312
199,46,452,0,6,0,57,0,335,11,4545.0,5540.0,5348.59848
200,6,38,1,0,3,90,0,367,15,4420.0,11059.0,8001.209215999999
201,21,9,0,6,3,47,0,253,8,7258.0,11265.0,9460.969776
202,4,452,0,3,0,73,0,217,6,7001.0,9569.0,8421.9003
203,24,74,1,4,0,45,0,536,12,8653.0,11277.0,10445.677056
204,42,3,0,5,0,64,1,239,14,3830.0,6169.0,778.95675
205,24,165,1,0,0,50,0,251,16,3396.0,9886.0,4405.085856000001
206,40,358,1,3,3,66,0,263,3,4223.0,13603.0,9086.8833
207,24,55,0,0,0,1,0,395,17,979.0,2792.0,2283.481629
208,24,358,1,7,3,28,0,133,6,4081.0,14589.0,9449.916
209,45,216,0,3,0,6,0,289,1,261.0,488.0,663.473646
210,35,93,1,5,2,42,0,287,13,4445.0,6957.5,6360.470784
211,37,113,1,8,0,84,0,150,7,3543.0,13427.0,8516.510464
212,1,367,0,9,2,77,0,290,13,3024.0,6832.0,5172.1659
213,15,3,1,8,0,29,0,182,8,1682.0,2689.0,2363.326875
214,46,452,1,3,0,46,0,253,6,4121.0,6150.0,5357.073888
215,27,100,0,7,0,82,1,122,6,3029.0,4191.0,552.0596928
216,36,121,1,8,0,25,0,108,4,1237.0,3783.0,2612.4525
217,18,63,1,1,1,70,0,269,6,1467.0,2483.0,2222.7282
218,7,231,1,2,2,6,0,165,16,6204.0,7614.0,7084.341495000001
219,2,14,0,8,0,85,0,141,6,5195.0,7772.0,6532.941184
220,48,124,0,3,0,66,1,233,5,1991.0,2754.0,387.093465
221,50,111,1,4,0,44,0,643,14,3314.0,6804.0,5672.541888000001
222,7,443,0,0,0,67,0,373,12,3653.0,5239.0,4776.0966
223,47,205,1,2,0,62,0,124,13,2579.0,3204.0,3184.8498
224,36,11,1,5,3,74,0,245,15,453.0,1169.0,1046.6478
225,26,152,1,8,0,32,0,191,10,1704.0,2199.0,2139.088875
226,23,471,0,3,2,82,0,265,6,2273.0,3279.0,2998.855552
227,8,445,1,1,0,4,0,257,9,3252.0,5335.0,4553.904564
228,11,58,1,7,1,27,0,137,8,2806.0,10758.0,3416.068425
229,16,61,1,4,2,40,0,478,8,11149.0,16181.0,13835.466575
230,13,234,1,0,1,19,0,352,11,8572.0,12012.0,10654.254468000001
231,46,471,1,5,2,20,0,220,17,1879.0,2780.0,2496.00715
232,3,454,1,0,0,59,0,395,12,2030.0,4151.0,3466.879056
233,43,24,1,5,0,52,0,295,13,3312.0,4748.0,4302.5264640000005
234,47,448,0,6,0,13,1,263,7,2641.0,3744.0,518.60763405
235,20,452,0,0,0,17,0,369,15,3222.0,4601.0,4285.941363
236,6,268,0,6,2,14,0,335,5,2506.0,3780.0,3479.2220429999998
237,22,358,1,6,3,100,0,342,13,10616.0,26236.0,18369.131125
238,50,358,1,6,3,22,0,200,7,4201.0,6364.0,5472.4845
239,36,103,1,4,1,46,1,530,15,11822.0,16687.0,2206.6683552
240,31,315,0,3,2,52,0,297,2,1691.0,8780.0,5498.1352799999995
241,9,164,1,8,0,32,0,165,7,1784.0,2478.0,2291.746275
242,39,3,1,6,0,14,0,249,9,2300.0,3205.0,3003.679602
243,20,452,1,3,0,46,0,255,5,2963.0,4111.0,3769.489872
244,32,65,0,4,2,48,0,539,9,2703.0,4705.5,3853.6776
245,34,141,1,6,0,44,0,272,5,3736.0,5300.0,4761.5895359999995
246,9,23,1,2,0,37,0,141,9,3138.0,5296.0,4350.8955
247,16,441,0,0,0,12,0,354,13,3150.0,4914.0,4390.800876
248,27,315,1,3,2,92,0,283,4,1829.0,7960.0,5104.875776
249,30,58,1,7,0,48,0,133,7,6066.0,7921.0,7085.759040000001
250,30,275,0,2,0,78,0,173,16,775.0,1958.0,1526.2731
251,32,23,1,9,2,95,0,202,13,600.0,2809.0,1881.234432
252,18,446,0,6,0,38,1,318,5,6760.0,9513.0,1265.61353625
253,15,58,1,3,0,89,0,202,4,5198.0,7926.0,6669.1806719999995
254,34,73,1,2,0,75,0,120,12,1478.0,2074.0,1879.1487
255,16,80,1,5,2,31,0,287,14,366.0,568.0,752.763375
256,35,115,1,8,0,76,0,141,7,1401.0,2006.0,1827.2331
257,27,103,0,3,1,97,0,259,1,9322.0,15054.0,12268.965632
258,33,37,0,1,2,81,1,265,9,7549.0,10737.0,1392.0954432
259,17,57,0,3,0,33,0,277,5,3378.0,7016.0,5462.9085
260,2,186,1,0,0,58,0,393,17,6768.0,10088.0,8778.783888
261,7,441,1,5,0,30,0,205,13,5025.0,8370.0,6893.931975
262,16,446,1,4,0,37,0,631,9,5575.0,7324.0,7068.58425
263,16,3,1,9,0,41,0,244,12,2145.0,3409.0,3004.974288
264,43,220,1,9,0,49,0,233,14,3755.0,5429.0,4800.5088479999995
265,48,175,1,5,2,29,1,221,13,4881.0,6701.0,900.67217625
266,10,191,1,8,2,64,1,139,6,3502.0,6563.0,768.4162200000001
267,32,57,1,2,0,1,0,133,6,4191.0,8706.0,6584.711463000001
268,39,113,0,0,0,93,0,360,17,1699.0,6743.0,4522.110208
269,6,123,0,0,0,97,0,368,12,843.0,5946.0,2527.206528
270,8,469,1,4,2,90,0,614,8,3522.0,5149.0,4881.647232
271,7,152,1,7,0,70,0,138,5,1847.0,2620.0,2348.8938
272,35,220,0,1,0,56,0,262,5,3291.0,4867.0,4315.244544
273,14,452,1,6,0,25,0,201,6,4945.0,7020.0,6171.622275
274,44,23,1,5,0,83,0,236,12,1366.0,2428.0,2104.531968
275,45,73,0,3,0,87,0,208,8,1133.0,1608.0,233.528064
276,15,146,0,6,2,9,0,297,8,1465.0,2502.0,2281.861791
277,36,443,1,9,0,17,0,289,8,4651.0,6468.0,5856.81426
278,20,24,1,2,0,50,0,135,8,6092.0,8082.0,7181.412912000001
279,40,451,1,0,0,77,0,389,15,3142.0,4511.0,4179.0276
280,11,175,0,7,2,29,0,125,7,6889.0,10059.0,8583.417675
281,4,1,1,0,0,51,0,393,16,1771.0,8480.0,3070.532016
282,5,451,1,7,0,97,1,120,7,5313.0,6901.0,921.2309568
283,22,23,1,1,2,88,0,257,13,2091.0,4334.0,3423.6590079999996
284,42,449,0,2,0,78,0,115,14,3458.0,4869.0,4241.4867
285,12,108,0,0,0,47,0,387,15,2457.0,5460.0,4323.193343999999
286,45,55,0,4,0,32,0,602,16,3963.0,5451.0,5303.238675
287,2,115,0,3,0,72,0,234,9,1422.0,2006.0,1930.0446
288,25,447,1,5,0,83,0,236,17,3022.0,4399.0,3895.889536
289,6,441,0,3,0,56,0,210,9,2406.0,3928.0,3358.21896
290,4,192,1,7,1,33,0,102,6,1767.0,5645.0,3800.69445
291,37,471,0,2,2,59,0,165,14,2363.0,5056.0,3854.859984
292,38,101,0,5,0,41,0,216,12,814.0,1099.0,1166.1386400000001
293,28,469,1,1,0,91,0,339,14,5281.0,6822.0,6306.824832
294,6,55,0,7,0,47,0,116,7,1029.0,2821.0,2029.27896
295,5,451,1,0,0,75,0,386,12,4786.0,6722.0,6085.431
296,18,101,0,3,0,2,0,204,4,1906.0,2806.0,2560.6839059999998
297,43,104,1,7,0,59,0,128,8,724.0,2764.0,1861.41024
298,18,23,1,2,2,74,0,134,13,1584.0,5190.0,3490.1459999999997
299,37,93,0,1,2,99,0,333,13,3137.0,5416.0,4548.603136
300,15,456,1,1,0,96,1,253,12,2861.0,8510.0,878.9561087999999
301,9,449,1,4,0,94,0,538,9,6364.0,8777.0,7998.449536
302,48,443,0,8,0,84,0,146,2,2582.0,4126.0,3450.2603520000002
303,26,456,0,9,0,24,0,208,11,2620.0,8533.0,5776.153425
304,21,447,1,8,0,12,0,162,10,4263.0,5876.0,5236.046343
305,6,294,1,3,2,49,0,259,6,3740.0,21952.0,13028.788656
306,13,186,0,6,2,31,1,297,8,2893.0,4029.0,562.70521125
307,17,103,1,3,0,54,0,251,5,10348.0,4165.5,12185.5104
308,35,74,0,1,0,26,1,303,12,3384.0,4302.0,621.03502125
309,25,437,1,3,0,38,0,221,2,3244.0,4580.0,4123.44555
310,44,113,0,0,0,24,0,363,11,1995.0,3774.0,3242.543325
311,4,358,0,7,3,13,0,146,6,3861.0,12750.0,8455.634352
312,16,23,1,0,2,52,0,389,12,603.0,3028.0,2192.557248
313,32,23,1,6,2,25,0,285,14,1801.0,7853.0,5104.995525
314,18,57,1,2,0,90,0,101,17,2452.0,5612.0,3701.61792
315,24,454,1,5,0,86,0,228,15,1267.0,3371.0,2513.753088
316,45,57,1,8,0,15,0,135,10,5060.0,7921.0,6631.326801
317,20,437,1,3,0,31,0,253,4,4854.0,6878.0,6106.046625
318,30,23,0,7,2,95,0,100,6,1290.0,7417.0,4391.942016
319,5,443,1,9,0,38,0,201,16,4414.0,6764.0,5784.44265
320,40,63,1,0,1,88,0,398,13,4003.0,7575.0,6105.328768
321,32,455,0,0,0,52,0,368,11,888.0,4954.0,3271.139856
322,4,51,1,4,1,21,0,635,12,3437.0,7339.0,6014.396325
323,37,450,1,7,0,42,0,144,8,2773.0,4281.0,3650.307552
324,46,14,1,7,0,85,0,136,5,3172.0,4178.0,3757.935104
325,7,447,0,5,0,37,0,287,4,3318.0,8458.0,6167.193375
326,9,3,1,8,0,63,0,138,3,2303.0,4193.0,3353.1003
327,18,2,1,4,1,97,0,649,5,5059.0,8789.0,7467.358976
328,8,441,0,7,2,95,0,132,5,6088.0,7959.0,7055.920256
329,7,190,0,1,0,31,0,290,8,11332.0,16687.0,14274.933225
330,38,441,1,1,0,94,0,289,14,2952.0,4496.0,3960.3477759999996
331,35,443,0,1,0,7,0,329,13,9584.0,13609.0,11939.385942
332,14,397,1,1,0,33,0,324,16,735.0,2830.0,2104.076625
333,11,186,0,4,2,81,0,537,5,2830.0,3693.0,3745.408128
334,47,93,1,5,2,91,0,295,12,2916.0,5535.0,4460.401792000001
335,49,23,1,1,2,53,0,311,8,4642.0,19695.0,12409.298928
336,39,268,1,1,2,92,0,312,16,671.0,2730.0,1986.200832
337,15,83,1,9,0,64,1,202,16,1537.0,5653.0,564.708375
338,2,451,0,2,0,35,0,159,15,6022.0,7176.0,6750.98025
339,33,23,0,9,2,72,0,295,10,1214.0,4584.0,3164.9309999999996
340,30,1,0,7,0,87,0,108,6,1014.0,3036.0,2103.487232
341,42,62,0,8,0,46,0,116,5,1958.0,8268.0,5198.0780159999995
342,18,350,0,3,1,50,0,200,9,4648.0,7185.0,6082.640352
343,27,76,1,5,0,85,0,236,16,4039.0,5304.0,4844.194432
344,36,320,0,0,0,79,0,379,14,1406.0,4383.0,3244.7745
345,14,268,0,2,2,79,0,129,11,2097.0,4036.0,3166.8813
346,37,453,0,9,0,98,0,270,16,3726.0,5323.0,4732.5949439999995
347,8,441,0,7,2,73,0,135,5,3806.0,6017.0,4998.4704
348,34,113,1,1,0,60,0,285,8,4782.0,11802.0,8390.498325
349,16,186,1,0,2,44,0,363,13,2232.0,3110.0,3018.030192
350,31,55,0,9,0,35,0,209,10,1217.0,3689.0,2657.788875
351,9,256,1,4,0,7,0,618,6,1588.0,6727.0,4777.512201
352,28,283,1,5,0,81,1,209,17,4692.0,9830.0,1106.1891455999998
353,40,108,1,1,0,65,0,272,15,1069.0,2290.0,1934.4798
354,5,451,1,6,0,96,0,204,7,4675.0,6716.0,5818.479744
355,21,443,1,7,0,82,0,114,6,4969.0,6793.0,5912.151168
356,29,115,1,6,0,34,0,339,13,1142.0,1994.0,1904.2674
357,38,452,0,3,0,18,0,203,3,3799.0,5113.0,4659.873965999999
358,30,447,1,4,0,35,1,566,10,4419.0,6159.0,876.84589125
359,3,116,0,3,0,32,1,219,4,1419.0,1889.0,280.3463775
360,20,443,0,5,0,76,1,271,14,3630.0,5483.0,717.83118
361,45,162,0,4,1,60,1,255,7,4780.0,6684.0,920.51321625
362,3,452,1,9,0,63,0,240,16,5497.0,7930.0,6894.5976
363,16,358,0,9,3,7,0,275,11,894.0,2520.0,1983.681612
364,48,3,0,3,0,24,0,272,4,2839.0,6179.0,4770.843
365,22,65,0,2,2,90,0,109,6,822.0,2216.0,1605.453696
366,23,452,1,5,0,91,1,186,16,5251.0,6914.0,939.7050432
367,45,452,0,3,0,85,0,264,6,6883.0,8720.0,7953.969408
368,9,115,1,6,0,29,0,293,12,1840.0,2331.0,2375.0475
369,44,451,0,2,0,7,0,136,12,4861.0,6448.0,5796.710271
370,27,450,0,2,0,84,0,167,15,2310.0,3005.0,2787.759744
371,16,441,0,1,2,93,0,281,16,6335.0,9163.0,7926.589440000001
372,17,27,0,0,0,39,0,388,15,6175.0,10152.0,8542.340625
373,6,94,1,7,2,45,0,140,9,1391.0,9933.0,5769.934560000001
374,42,234,1,1,0,57,0,337,14,15106.0,19763.0,17682.016175999997
375,40,62,1,6,0,27,0,337,7,2576.0,8962.0,6094.7649
376,27,294,1,7,2,32,0,120,5,1097.0,3879.0,2602.7169
377,28,469,0,8,0,56,0,189,8,4319.0,6116.0,5373.458352000001
378,12,443,1,0,0,86,0,360,11,3428.0,4996.0,4510.726528
379,39,14,1,5,0,9,0,251,16,5413.0,7053.0,6493.320603
380,37,65,0,9,2,18,1,212,16,2991.0,4892.0,623.90910285
